session_id,src_ip,intent,skill_level,command_count,summary,suspicious_items
973c7cd4841a,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
973cd306d12d,182.92.115.199,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
973ed88a7fdf,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
973f85a2a7db,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
97438701c354,159.203.11.24,Reconnaissance,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Reconnaissance.",[]
9745b8760f7b,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
974652225c26,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
974808e9e3c7,182.92.115.199,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
974833c7e139,159.203.11.24,Reconnaissance,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Reconnaissance.",[]
9749d919663b,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
974ad0c90c29,159.203.11.24,Reconnaissance,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Reconnaissance.",[]
974cbc2f9925,182.92.115.199,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
974e3d0a2f67,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
9753551a47f2,159.203.11.24,Reconnaissance,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Reconnaissance.",[]
9756bb48e916,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
975a40fd1f97,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
975a61008fc7,159.203.11.24,Reconnaissance,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Reconnaissance.",[]
975afbcca512,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
9762218a0e5b,159.203.11.24,Reconnaissance,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Reconnaissance.",[]
97631006c852,159.203.11.24,Reconnaissance,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Reconnaissance.",[]
9765187d59d9,159.203.11.24,Reconnaissance,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Reconnaissance.",[]
976724dff320,182.92.115.199,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
9767787634c2,159.203.11.24,Reconnaissance,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Reconnaissance.",[]
9768c1240878,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
976b8b87615e,103.56.112.229,Uncategorized,Low (Script Kiddie),1,"Attacker executed 1 commands, showing signs of Uncategorized.",[]
